MOTIF ID	LOCATIONS	REFERENCES	DESCRIPTION
A121.2	Hawaii	Hawaii, Jewish	
A122	Greece, India	Hindu, cf. Greek	Hair, skin, flesh, bones and marrow are mortal; mind, voice, breath, eye, and ear are immortal. (prajapati).
A123		Jewish	
A123.1.1	Greece	Greek	Hekate has three bodies standing back to back and looking in three directions.
A123.1.2	Tahiti	Tahiti	
A123.1.3		Marquesas	
A123.1.4	Hawaii	Hawaii	
A123.1.5	Hawaii	Hawaii	
A123.1.6	Hawaii	Hawaii	
A123.1.7	Hawaii	Hawaii	
A123.2		Jewish	
A123.2.1.1	India, Ovid	India	
A123.2.1.2	China	. Chinese	
A123.2.1.3	Greece, India	Greek, India, Jewish	
A123.2.1.4		Jewish	
A123.2.1.5	India	Hindu	
A123.2.2.1	Hawaii	Hawaii	
A123.2.2.2	Tonga	Tonga	
A123.3.1	China, India	. Hindu, Chinese	
A123.3.1.1	India	Buddhist myth, India	
A123.3.1.2	India, Ireland	India, Irish myth	
A123.3.1.3	India	India	
A123.3.1.4	India	India	
A123.3.1.4.1	India	India	
A123.3.2	Hawaii	Buddhist myth, Hawaii	
A123.4.1	China	Boberg. Chinese, Slavic (Elbe)	
A123.4.1.1	Ireland	Irish myth	
A123.4.1.2	India	India	
A123.4.1.3	Tahiti	Tahiti	
A123.4.2	Hawaii	Hawaii	
A123.5.1	China, Greece, India, Ireland	. Cf. Greek, Chinese, Hindu, India, Irish Myth	Siva has ten arms.
A123.5.2		Jewish	
A123.6.1	India	India	
A123.7.1	India	Hindu	
A123.7.2	India, krsna	Icel.	
A123.8	India	India	
A123.9	India	India	
A123.10	India	India	
A123.11	Fiji, Tahiti	Fiji, Tahiti	Mangaia (Cook Is.)
A124	India	Icel., India	
A124.0.1	Ireland	Irish myth, Jewish	
A124.1	India	Hindu, India	
A124.2		Icel.	
A124.3	India	India	
A124.4		Jewish	
A124.5	Hawaii	Hawaii	
A125	Ireland, Samoa	Irish myth, Jewish, Samoa	(The human form is assumed in most mythologies.)
A125.1	Ireland	Irish myth	
A125.1.1	Ireland	Irish myth	
A125.2		Icel.	
A125.3		Icel.	
A125.4	India	So. Am. Indian (Huarochiri)	
A128	Egypt, Greece, India	Egyptian, Greek, India, Jewish	
A128.1	China, India	. India, Chinese, Htsdhr. Icel.	
A128.2	Ireland	. Irish myth, Icel., Jewish	Odin.
A128.2.1	Ireland	Irish myth	
A128.2.2	Ireland	Irish myth	
A128.3	Borneo	Borneo	
A128.3.1	Ireland	Irish myth	
A128.4	irish	. Icel., Irish myth	Hand cut or bitten off.
A128.5	Greece	Greek	
A128.5.1		Icel.	
A131	Egypt, Ireland, Mexico	. Mexican, Alexander Lat. Am. Irish myth, Egyptian	
A131.1	Iraq, Persia, Samoa	Assyrian, Babylonian, ibid. Samoa	
A131.2	India	Hindu	
A131.3.1	Ireland	Irish myth	
A131.3.2	Tonga	Tonga	
A131.3.3	Egypt, Ireland	. Irish myth, Egyptian	
A131.4	India	Hindu, India	
A131.5	Greece	Greek	
A131.6	Egypt, Ireland	Egyptian, Irish myth	
A131.7		Jewish	
A131.8	India	India	
A132	China, Egypt, India, irish	Chibcha, Egyptian	
A132.0.1	India	India	
A132.0.1.1	India	India	
A132.0.1.2	Tonga	Tonga	
A132.1	China, Fiji, India, Ireland	. Fiji, . Irish myth, Chinese, Hindu, India, Jewish	
A132.1.1	India	India	
A132.2	China, India	Chinese, Hindu, India	
A132.3.1	India, Ireland	India, Irish myth, Jewish	
A132.3.1.1	Ireland	Irish myth, Jewish	
A132.3.2	Ireland	Irish myth	
A132.3.3		Jewish	
A132.4	Ireland	Irish myth	
A132.5	Ireland	Irish myth	
A132.6	Ireland	Irish myth	
A132.6.1	Hawaii, Ireland	Cross. Hawaii, Irish myth	
A132.6.2	Ireland	Irish myth	
A132.6.3	Hawaii	Hawaii, Jewish	
A132.6.4	Hawaii	Hawaii	
A132.6.5	Tonga	Tonga	
A132.7	India, Ireland	India, Irish myth	
A132.8	Ireland	Irish myth, Jewish	
A132.9	Ireland	Irish myth	
A132.9.1	India	India	
A132.10	India	India	
A132.11		Easter Is.	
A132.12	New Zealand, Tonga	Maori, Tonga	
A132.13	Tonga	Tonga	
A132.14		Icel., Jewish	
A132.15	China	Chinese	
A133	India, Ireland	India, Irish myth	
A133.1	India	Hindu	(Indra).
A133.2	Ireland	Irish, Irish myth	One foot is in the north of the country and the other is in the south.
A133.2.1			
A133.2.2		Jewish	
A133.3	India	India	
A134	India, Japan	Hindu, Japanese	
A135	Hawaii, New Zealand	Hawaii, Maori	
A136.1.1	freya	Icel.	
A136.1.2.1		Icel.	
A136.1.3	India	Hindu, India	
A136.1.4	India, Ocean, Penzer		
A136.1.4.1	India	India	
A136.1.5	India	India	
A136.1.6	India	India	
A136.1.7	India	India	
A136.1.8		Icel.	
A136.2	Greece	Greek, Icel.	
A136.2.1	Greece	Greek	
A136.2.2	Ireland	Irish myth	
A136.3	India	India	
A136.3.1		Jewish	
A137	Ireland	Irish myth	
A137.1	Ireland	Icel., Irish myth	
A137.1.1	Ireland	Irish myth	
A137.2	Ireland	Irish myth	
A137.3	Ireland	Irish myth	
A137.3.1	Ireland	Irish myth	
A137.3.1.1	Ireland	Irish myth	
A137.4	Ireland	Irish myth	
A137.4.1		Hivaoa (Marquesas)	
A137.5	Ireland	Irish myth	
A137.6	Ireland	Irish myth	
A137.7	Ireland	Irish myth	
A137.8	India	India	
A137.9	India	India	
A137.10		Jewish	
A137.11		Jewish	
A137.12		Jewish	
A137.13		Jewish	
A137.14		Jewish	
A137.14.1		Jewish	
A137.14.1.1		Jewish	
A137.14.2		Jewish	
A137.14.3		Jewish	
A137.14.4		Jewish	
A137.15		Jewish	
A137.16	Tahiti	Tahiti	
A137.17		Jewish	
A137.18	India	India	
A138		Jewish	
A139.1	Ireland	Irish myth	
A139.2	India	India	
A139.3	China, India	Chinese, India	
A139.4	India	India	
A139.5		Jewish	
A139.5.1		Jewish	
A139.5.2		Jewish	
A139.6		Jewish	
A139.7			
A139.8.1	Hawaii	Hawaii	
A139.8.2	Hawaii	Hawaii	
A139.8.3	Hawaii	Hawaii	
A139.8.4	Hawaii	Hawaii	
A139.8.5	Hawaii	Hawaii	
A139.8.6	Hawaii	Hawaii	
A139.9.1		Easter Is.	
A139.9.2			
A139.9.3	Tahiti	Tahiti	
A139.10	Tahiti	Tahiti	
A139.11	Hawaii	Hawaii	
A139.12		Jewish	
A139.13		Buddhist myth	
A139.14	China	Chinese	
A139.15	China	Chinese	
A140		Icel.	
A141	Greece, Tahiti	. Tahiti, Greek	Hephaistos.
A141.1	Africa, Donohugh, Greece	Africa (Luba), Greek, Icel.	
A141.2		Jewish	
A141.3		Jewish	
A141.4		Jewish	
A142	Greece, India, Ireland, Lithuania	Greek, India, Irish myth, Lithuanian, Norse	
A142.0.1	India	India	
A142.1	Ireland	Irish myth	
A143	India, Ireland	India, Irish myth	
A144	Ireland	Irish myth	
A145	Ireland	Irish myth	
A147	Hawaii	Hawaii	
A151	Africa, Guarani, Hawaii, India, Ireland	Africa (Fang), Celtic (general), Irish, So. Am. Indian (Apapocuvb -Guarani), ibid. Hawaii	Elysium, Avalon, earthly paradise.
A151.0.1		Jewish	
A151.0.2		Jewish	
A151.1	Greece, Hawaii, India, Meru, Mount	Greek, Hindu, Icel., India, Jewish, Neuman. Hawaii	Mt. Olympus.
A151.1.1	Cheyenne, Hawaii, Ireland	Cross. Cheyenne, Irish myth	
A151.1.2	Tonga	Hivaoa (Marquesas), Tonga	
A151.1.3	Hawaii	Hawaii	
A151.1.4	Hawaii, Tahiti	Hawaii, Tahiti	
A151.2	India, Ireland	Babylonian, Hindu, Irish myth, Jewish	
A151.3	India	India	
A151.3.1	Tonga	Tonga	
A151.3.2	Hawaii, Tahiti	Hawaii, Tahiti	
A151.4		Icel.	
A151.4.1		Jewish	
A151.4.2			
A151.4.3		Buddhist myth	
A151.4.4	Samoa	Samoa	
A151.5		Buddhist myth, Icel.	
A151.6.1	India	India	
A151.6.2	Hawaii	Hawaii	
A151.7	Hawaii	. Hawaii, Buddhist myth	
A151.7.1	China, India	. India, Buddhist myth, Chinese	
A151.7.1.1		Jewish	
A151.8	India	India	
A151.9		Jewish	
A151.10		Jewish	
A151.10.1		Jewish	
A151.11		Jewish	
A151.12	Hawaii	Hawaii	
A151.13	Hawaii	Hawaii	
A151.14	Hawaii	Hawaii	
A152		Jewish	
A152.1		Jewish	
A152.2		Jewish	
A152.3		Jewish	
A152.4		Jewish	
A152.5		Jewish	
A152.6		Jewish	
A152.7		Jewish	
A152.8		Jewish	
A152.9		Buddhist myth	
A153	Greece, Hawaii, India, Ireland	. Hawaii, Greek, Hindu, Icel., India, Irish myth	Ambrosia.
A153.1	India	Hindu, Persian	Food of the gods stolen.
A153.2	India, Ireland	India, Irish	
A153.2.1	Greece, India, Ireland	Greek, India, Irish Myth	
A153.3	China, India	. So. Am. Indian (Chiriguano), Chinese, Icel., India	
A153.3.1	India	India	
A153.3.2	India	India	
A153.4		Icel.	
A153.5	India	India	
A153.6	India	India	
A153.7	India	India	
A153.8	India	India	
A153.9		Hivaoa (Marquesas)	
A154	China, Greece, India	Chinese, Greek, Hindu, Icel., India, Persian	
A154.1	India, Ireland	Hindu, Irish	
A154.2		. Icel.	
A154.3	India	India	
A154.4	India	India	
A155		Icel.	
A155.1	Greece	Greek	
A155.2		Icel.	
A155.3	Hawaii	Hawaii	
A155.4	India	India	
A155.5	India	India	
A155.5.1		Buddhist myth	
A155.6	India	India	
A155.7	India	India	
A156		Icel., Jewish	
A156.1		Icel., Jewish	
A156.2		Jewish	
A156.3		Jewish	
A156.4		Jewish	
A156.5	India	Buddhist myth, India	
A157		Buddhist myth	
A157.1	Corpus, France, Saintyves		Stone weapons (axes) brought down by thunderbolt (from Thunder God).
A157.1.1	Greece	Buddhist myth, Greek	
A157.2		Jewish	
A157.3		Jewish	
A157.4		Jewish	
A157.5		Jewish	
A157.6		Jewish	
A157.7			
A158		Eskimo, Jewish	
A159.1		Buddhist myth	
A161	Greece, India, Ireland, Persia	Buddhist myth, Greek, Hindu, India, Irish myth, Persian	
A161.1	Greece	Greek	
A161.2			
A161.3	Greece, Hawaii	Greek, Hawaii	
A161.4	Hawaii	Hawaii	
A161.5		Hivaoa (Marquesas)	
A162	Greece, India, Ireland, Japan, Siberia	Buddhist myth, Greek, Hindu, Icel., India, Irish myth, Japanese, Siberian	
A162.1	Berlin, China, Frankfurt, Greece, India, Ireland, Samoa, Siberia	Chinese, Greek, Hindu, Icel., India, Irish myth, Samoa, Siberian	
A162.1.0.1	Ireland	Irish myth	
A162.2	China, Egypt, Iraq	Babylonian and Egyptian, Jewish, cf. Chinese	
A162.3			
A162.3.1	Estonia, Finland, Latvia, Lithuania, Thrymskvida	Icel., and Lithuanian	
A162.3.2	Denmark, Estonia, Finland, Latvia, Lithuania, Norway, Sweden	and Lithuanian	
A162.4	India	India	
A162.5	India	India	
A162.6	India	India	
A162.7	Hawaii	Hawaii, Icel., Marquesas	
A162.8	Hawaii	Hawaii	
A163.1			
A163.1.1	China	Chinese	
A164	India, Ireland	Buddhist myth, India, Irish myth	
A164.1	Greece, Ireland	Greek, Icel., Irish myth, Marquesas	
A164.1.1	India, Ireland	Irish myth, So. Am. Indian (Munderuc')	
A164.2	Ireland	Irish myth	
A164.3	Ireland	Buddhist myth, Irish myth	
A164.3.1	India	India	
A164.4	Ireland	Irish myth	
A164.5	Ireland	Irish myth	
A164.6		Icel.	
A164.7	India		
A165	Greece, India	Buddhist myth, Greek, Hindu, Icel., Jewish	
A165.1.1		. Icel.	
A165.1.2		Icel.	
A165.1.3	Tahiti	Tahiti	
A165.2	Greece, India, Ireland, Tahiti	. Greek, Alexander Lat. Am. Tahiti, Huichol, India, Irish, Jewish	
A165.2.0.1		Buddhist myth	
A165.2.1.1		Jewish	
A165.2.1.1.1		. Icel.	
A165.2.1.1.2	India	India	
A165.2.1.1.3	India	India	
A165.2.1.1.4		Jewish	
A165.2.1.1.5		Jewish	
A165.2.1.1.6		Jewish	
A165.2.2	Hawaii, India, Ireland	India, Irish myth, Pawnee	
A165.2.2.1		Fjort	
A165.2.3		Jewish	
A165.2.4		Jewish	
A165.3	Greece	Greek	
A165.3.1			
A165.3.2	Ireland	Irish myth	
A165.4	Tahiti	Icel., Tahiti	
A165.4.1	Greece	Greek	
A165.5		Icel.	
A165.6	Armenia, Egypt, Iraq, Siberia	Armenian, Egyptian	
A165.7	India	Icel., India	
A165.8	India	India	
A165.9	New Zealand	. Maori	
A166	India	Buddhist myth, Hindu	
A167		Buddhist myth	
A167.1	India	India	
A168	Greece, Tahiti	. Tahiti, Buddhist myth, Easter Is., Greek	
A169.1		Icel.	
A171	India	India	
A171.0.1	Ireland	Irish myth	
A171.0.2	Hawaii, India, New Zealand	Hawaii, Maori, So. Am. Indian (Huamachuco)	
A171.0.3.1	Hawaii, Tahiti	Hawaii, Tahiti	
A171.0.3.2	New, Zealand	New Zealand	
A171.1		Icel.	
A171.1.1		Jewish	
A171.1.2		Icel.	
A171.2	Greece	Greek, Icel.	
A171.3	Hawaii	Hawaii	
A172	Greece, India, Ireland	Greek, Hindu, Irish myth, Jewish, Norse	
A173	Cross, Hawaii, India, Ireland	. Hawaii, Hindu, Icel., Irish myth	
A173.1			Death, reproduction, etc., suspended until the god' s return.
A173.2	Ireland	Irish myth	
A175	Greece, Hawaii, Ireland	Greek, Irish myth, Jewish, Neuman. Hawaii	
A175.1	Hawaii	Hawaii	
A176	Hawaii, India	Hawaii, India, Jewish	
A177	Greece	Greek	
A177.1	Ireland	Irish myth	
A178	Ireland	Irish myth, Jewish	
A179.1	Ireland	Irish myth	
A179.2	Hawaii	Hawaii	
A179.3		Hivaoa (Marquesas)	
A179.4		Hivaoa (Marquesas)	
A179.5	Hawaii	Hawaii	
A179.6		Marquesas	
A179.7	New Zealand	Maori	
A179.8	Tuamotu	Tuamotu	
A179.9		Jewish	
A180	Ireland	Irish myth, Norse	
A181	Greece, India, Ireland	Buddhist myth, Greek, India, Irish	
A181.1	Ireland	Irish myth	
A181.2	Hawaii, India	Hawaii, India	
A182		Jewish	
A182.0.1		Jewish	
A182.0.2		Jewish	
A182.1		Jewish	
A182.1.1			
A182.2		Jewish	
A182.3		Jewish	
A182.3.0.1		Jewish	
A182.3.0.1.1	Ireland	Irish myth	
A182.3.0.2	Leipzig		
A182.3.0.3	Ireland	Irish myth	
A182.3.0.3.1	Ireland	Irish myth	
A182.3.0.4		Jewish	
A182.3.0.5		Jewish	
A182.3.1		Jewish	
A182.3.2		Jewish	
A182.3.3		Jewish	
A182.3.4		Jewish	
A182.3.4.1	India	India	
A182.3.4.2	India	India	
A182.3.5		Jewish	
A182.3.6		Eskimo	
A183	Greece, Hawaii	Greek, Hawaii	
A183.1	Hawaii	Hawaii	
A184.1		Jewish	
A185	China, Greece, Iceland	Greek, Icelandic	
A185.1	Ireland	Irish myth, Jewish	
A185.2	Greece	Jewish	
A185.2.1		Jewish	
A185.2.2		Jewish	
A185.2.3		Jewish	
A185.3		Jewish	
A185.4		Jewish	
A185.5		Jewish	
A185.6.1		Jewish	
A185.6.1.1		Jewish	
A185.7		Jewish	
A185.8		Jewish	
A185.9		Jewish	
A185.10	Africa, Hawaii, Oahu, Tahiti	Jewish, Oahu (Hawaii), Tahiti	
A185.11		Jewish	
A185.12		Jewish	
A185.12.1	China	Chinese, Jewish	
A185.12.2		Jewish	
A185.13		Jewish	
A185.14.1		Jewish	
A185.14.2		Jewish	
A185.15		Jewish	
A185.16		Jewish	
A185.17		Buddhist myth	
A187.1	Greece, India	Greek, Icel., India, Jewish	
A187.2	India	Celtic-Norse, Icel., xxxviii-xli. India	
A188	Greece, India, Iraq, Ireland, New Zealand, Porapora, Tahiti	Babylonian, Herrmann Saxo Gr. Tahiti, Irish myth, Maori, Norse, So. Am. Indian (Chiriguano)	
A188.1	Greece, India	Greek, India	
A188.2	Hawaii, India, Ireland, Tahiti, Tuamotu	Hawaii, Inca, Irish myth, Stimson MS (T-G. Am. Indian (Chiriguano), Tahiti, Tuamotu	
A189.0.1	Ireland	Irish myth	
A189.1.1	Estonia, Latvia, Lithuania, Poland, Romania, Ukraine	Lithuanian, Prussian, and Rumanian	
A189.2	India	India	
A189.3	India	India	
A189.4	India	India	
A189.5	India	India	
A189.6	India	India	
A189.7	India	India	
A189.8	India	India	
A189.9	India	India	
A189.10	India	India	
A189.11	India	India	
A189.12	India	India	
A189.13	Ireland	Irish myth	
A189.14		Jewish	
A189.15		Jewish	
A189.16	Tahiti	Tahiti	
A189.17	Hawaii	Hawaii	
A191		Navaho	
A191.1	Ireland	Irish myth	
A192.1	Africa, China, Hawaii, India, Tahiti, irish	Icel.	
A192.1.1	Ireland	Irish myth	
A192.1.2		Easter Is.	
A192.2	Tonga	Nukuhiva (Marquesas), Tonga	
A192.2.1	Chatham, Guarani, India, Pora, Samoa	Am. Indian (Apapocuvb -Guarani), Polynesia	
A192.2.1.1	Hawaii, Tuamotu	Polynesia, Tuamotu	
A192.2.2	Hawaii	Hawaii	
A192.2.3	Hawaii	Hawaii	
A192.2.4	Pora		
A192.3	Fiji	Banks Is. (Fiji)	
A192.4	Tonga	Tonga	
A193	China	Chinese	
A194.1		Jewish	
A194.2		Jewish	
A194.3		Jewish	
A194.4		Jewish	
A195.1		Jewish	
A195.2		Jewish	
A195.3	Tahiti	Tahiti	
A196.1	Greece	Greek, Icel., Semitic	
A196.2	India	India	
A196.2.1		Jewish	
A197	Greece, Tahiti	Greek, Icel., Jewish, et passim. Tahiti	
A199.1	India	India	
A199.2		Icel.	
A199.3	India	India	
A199.4	India	India	
A199.5		Jewish	
A199.6		Jewish	
A199.7	Hawaii	Hawaii	
A205	Tuamotu	Tuamotu	
A210	Africa, Estonia, Frankfurt, Greece, Hawaii, India, Ireland, Varuna, fl	Africa (Luba), Babylonian, Cross. Estonian, Finno-Ugric, Greek, Hawaii, Hindu, Icel., India, Irish myth	
A210.1	Egypt, Tonga	Egyptian, Tonga	
A211	Africa, Armenia, China, India, Siberia	. African, . Pawnee, . Siberian, Armenian, Chinese, Hindu, Icel., Jewish	
A216	Greece, India		
A220	Armenia, Berlin, China, Egypt, Frankfurt, Greece, India, Ireland, Materiali, Montelius, Nebraska, Persian, Russia, Siberia, Storia, di, fl	. Navaho, Armenian, Babylonian, Buddhi st myth, Chinese, Egyptian, Finno-Ugric, Greek, Hindu, India, Irish myth, Russian, Siberian	
A220.0.1	India	India	
A220.0.2	India	India	
A220.1	Ireland, Japan	Irish myth, Japanese	
A220.2	India	India	
A221	India	. Pawnee, Alexander N. Am. Indian (Guarani)	
A222	Egypt	Egyptian	
A225	Brazil, Ireland	Irish myth	
A226	India, United States	American Indian	
